level,code,name,parent_code,parent_name,type,note
L1,A,经营业绩与商业模式,,,core,
L2,A01,收入规模与收入变动,A,经营业绩与商业模式,core,
L2,A02,成本费用与毛利率,A,经营业绩与商业模式,core,
L2,A03,利润、扣非利润与业绩波动,A,经营业绩与商业模式,core,
L2,A04,业务模式与商业实质,A,经营业绩与商业模式,core,
L2,A05,客户与供应商集中度,A,经营业绩与商业模式,core,
L2,A06,经营稳定性与持续经营能力,A,经营业绩与商业模式,core,
L2_EXT,,重大合同与订单,A,经营业绩与商业模式,extended,扩展标签，不参与第一版分类评价
L2_EXT,,产能产量与项目进展,A,经营业绩与商业模式,extended,扩展标签，不参与第一版分类评价
L2_EXT,,主营业务具体变化,A,经营业绩与商业模式,extended,扩展标签，不参与第一版分类评价
L1,B,财务报告与会计处理,,,core,
L2,B01,收入确认与截止性,B,财务报告与会计处理,core,
L2,B02,成本费用确认与资本化,B,财务报告与会计处理,core,
L2,B03,会计政策、会计估计与差错更正,B,财务报告与会计处理,core,
L2,B04,合并报表范围,B,财务报告与会计处理,core,
L2,B05,非经常性损益与政府补助,B,财务报告与会计处理,core,
L2_EXT,,科目列报与重分类,B,财务报告与会计处理,extended,扩展标签，不参与第一版分类评价
L2_EXT,,其他会计确认和计量,B,财务报告与会计处理,extended,扩展标签，不参与第一版分类评价
L1,C,资产质量与减值,,,core,
L2,C01,应收账款与坏账准备,C,资产质量与减值,core,
L2,C02,存货与跌价准备,C,资产质量与减值,core,
L2,C03,商誉与商誉减值,C,资产质量与减值,core,
L2,C04,固定资产与在建工程,C,资产质量与减值,core,
L2,C05,无形资产、研发支出与资本化,C,资产质量与减值,core,
L2,C06,其他资产与投资资产,C,资产质量与减值,core,
L2_EXT,,资产减值计提充分性,C,资产质量与减值,extended,扩展标签，不参与第一版分类评价
L2_EXT,,资产真实性,C,资产质量与减值,extended,扩展标签，不参与第一版分类评价
L2_EXT,,资产可回收性,C,资产质量与减值,extended,扩展标签，不参与第一版分类评价
L1,D,资金、现金流与偿债,,,core,
L2,D01,经营现金流与利润匹配,D,资金、现金流与偿债,core,
L2,D02,货币资金真实性、受限资金与存贷双高,D,资金、现金流与偿债,core,
L2,D03,债务结构与偿债能力,D,资金、现金流与偿债,core,
L2,D04,债务逾期、违约与展期,D,资金、现金流与偿债,core,
L2,D05,担保、抵质押与或有负债,D,资金、现金流与偿债,core,
L2,D06,融资安排与募集资金使用,D,资金、现金流与偿债,core,
L2_EXT,,存贷双高,D,资金、现金流与偿债,extended,扩展标签，不参与第一版分类评价
L2_EXT,,特定融资工具,D,资金、现金流与偿债,extended,扩展标签，不参与第一版分类评价
L2_EXT,,单项诉讼或仲裁,D,资金、现金流与偿债,extended,扩展标签，不参与第一版分类评价
L1,E,交易、关联方与资本运作,,,core,
L2,E01,交易商业实质、合理性与定价公允性,E,交易、关联方与资本运作,core,
L2,E02,关联方识别与关联交易,E,交易、关联方与资本运作,core,
L2,E03,非经营性资金占用,E,交易、关联方与资本运作,core,
L2,E04,资产购买、出售与年末突击交易,E,交易、关联方与资本运作,core,
L2,E05,并购重组与重大资产交易,E,交易、关联方与资本运作,core,
L2,E06,估值方法与评估合理性,E,交易、关联方与资本运作,core,
L2,E07,业绩承诺、补偿安排与对赌协议,E,交易、关联方与资本运作,core,
L2_EXT,,对外投资与普通股权投资,E,交易、关联方与资本运作,extended,扩展标签，不参与第一版分类评价
L1,F,股东、控制权与公司治理,,,core,
L2,F01,控股股东与实际控制人,F,股东、控制权与公司治理,core,
L2,F02,控制权变更与稳定性,F,股东、控制权与公司治理,core,
L2,F03,股权质押、冻结与司法处置,F,股东、控制权与公司治理,core,
L2,F04,增减持、回购、股权激励与权益变动,F,股东、控制权与公司治理,core,
L2,F05,董监高履职与人员变动,F,股东、控制权与公司治理,core,
L2,F06,内部控制、三会治理与公司独立性,F,股东、控制权与公司治理,core,
L2_EXT,,子公司管控,F,股东、控制权与公司治理,extended,扩展标签，不参与第一版分类评价
L2_EXT,,同业竞争,F,股东、控制权与公司治理,extended,扩展标签，不参与第一版分类评价
L2_EXT,,业务独立性,F,股东、控制权与公司治理,extended,扩展标签，不参与第一版分类评价
L1,G,审计、披露与监管合规,,,core,
L2,G01,审计意见与非标准审计意见,G,审计、披露与监管合规,core,
L2,G02,审计证据充分性与审计范围受限,G,审计、披露与监管合规,core,
L2,G03,会计师事务所变更与中介机构胜任能力,G,审计、披露与监管合规,core,
L2,G04,信息披露完整性,G,审计、披露与监管合规,core,
L2,G05,信息披露及时性,G,审计、披露与监管合规,core,
L2,G06,前后披露一致性、数据准确性与勾稽关系,G,审计、披露与监管合规,core,
L2,G07,立案调查、监管处罚与其他合规事项,G,审计、披露与监管合规,core,
L2_EXT,,风险提示不足,G,审计、披露与监管合规,extended,扩展标签，不参与第一版分类评价
L2_EXT,,律师核查不足,G,审计、披露与监管合规,extended,扩展标签，不参与第一版分类评价
L2_EXT,,评估机构核查不足,G,审计、披露与监管合规,extended,扩展标签，不参与第一版分类评价
L2_EXT,,其他中介责任,G,审计、披露与监管合规,extended,扩展标签，不参与第一版分类评价
L1,H,市场交易与证券行为,,,core,尾部类别；无法归类样本进入 H-OTHER 观察池
L2,H01,股价、成交量与市场交易异常,H,市场交易与证券行为,core,
L2,H02,市场传闻、媒体报道与澄清,H,市场交易与证券行为,core,
L2_EXT,,停复牌事项,H,市场交易与证券行为,extended,扩展标签，不参与第一版分类评价
