semantic_column,source_feature,description
announcement_semantic_000,w30_n_ann,近30天 公告数
announcement_semantic_001,w30_n_rows,近30天 主题命中数
announcement_semantic_002,w30_n_high,近30天 高风险条数
announcement_semantic_003,w30_n_themes,近30天 覆盖主题数
announcement_semantic_004,w30_rule_hits,近30天 规则命中数
announcement_semantic_005,w30_strong,近30天 强风险信号数
announcement_semantic_006,w30_score_mean,近30天 风险分均值
announcement_semantic_007,w30_score_max,近30天 风险分最大值
announcement_semantic_008,w30_score_sum,近30天 风险分总和
announcement_semantic_009,w30_rerank_max,近30天 精排分最大值
announcement_semantic_010,w30_sentneg_mean,近30天 负面情绪均值
announcement_semantic_011,w30_L1_A_max,近30天 一级主题A 最高分
announcement_semantic_012,w30_L1_A_cnt,近30天 一级主题A 证据数
announcement_semantic_013,w30_L1_B_max,近30天 一级主题B 最高分
announcement_semantic_014,w30_L1_B_cnt,近30天 一级主题B 证据数
announcement_semantic_015,w30_L1_C_max,近30天 一级主题C 最高分
announcement_semantic_016,w30_L1_C_cnt,近30天 一级主题C 证据数
announcement_semantic_017,w30_L1_D_max,近30天 一级主题D 最高分
announcement_semantic_018,w30_L1_D_cnt,近30天 一级主题D 证据数
announcement_semantic_019,w30_L1_E_max,近30天 一级主题E 最高分
announcement_semantic_020,w30_L1_E_cnt,近30天 一级主题E 证据数
announcement_semantic_021,w30_L1_F_max,近30天 一级主题F 最高分
announcement_semantic_022,w30_L1_F_cnt,近30天 一级主题F 证据数
announcement_semantic_023,w30_L1_G_max,近30天 一级主题G 最高分
announcement_semantic_024,w30_L1_G_cnt,近30天 一级主题G 证据数
announcement_semantic_025,w30_L1_H_max,近30天 一级主题H 最高分
announcement_semantic_026,w30_L1_H_cnt,近30天 一级主题H 证据数
announcement_semantic_027,w60_n_ann,近60天 公告数
announcement_semantic_028,w60_n_rows,近60天 主题命中数
announcement_semantic_029,w60_n_high,近60天 高风险条数
announcement_semantic_030,w60_n_themes,近60天 覆盖主题数
announcement_semantic_031,w60_rule_hits,近60天 规则命中数
announcement_semantic_032,w60_strong,近60天 强风险信号数
announcement_semantic_033,w60_score_mean,近60天 风险分均值
announcement_semantic_034,w60_score_max,近60天 风险分最大值
announcement_semantic_035,w60_score_sum,近60天 风险分总和
announcement_semantic_036,w60_rerank_max,近60天 精排分最大值
announcement_semantic_037,w60_sentneg_mean,近60天 负面情绪均值
announcement_semantic_038,w60_L1_A_max,近60天 一级主题A 最高分
announcement_semantic_039,w60_L1_A_cnt,近60天 一级主题A 证据数
announcement_semantic_040,w60_L1_B_max,近60天 一级主题B 最高分
announcement_semantic_041,w60_L1_B_cnt,近60天 一级主题B 证据数
announcement_semantic_042,w60_L1_C_max,近60天 一级主题C 最高分
announcement_semantic_043,w60_L1_C_cnt,近60天 一级主题C 证据数
announcement_semantic_044,w60_L1_D_max,近60天 一级主题D 最高分
announcement_semantic_045,w60_L1_D_cnt,近60天 一级主题D 证据数
announcement_semantic_046,w60_L1_E_max,近60天 一级主题E 最高分
announcement_semantic_047,w60_L1_E_cnt,近60天 一级主题E 证据数
announcement_semantic_048,w60_L1_F_max,近60天 一级主题F 最高分
announcement_semantic_049,w60_L1_F_cnt,近60天 一级主题F 证据数
announcement_semantic_050,w60_L1_G_max,近60天 一级主题G 最高分
announcement_semantic_051,w60_L1_G_cnt,近60天 一级主题G 证据数
announcement_semantic_052,w60_L1_H_max,近60天 一级主题H 最高分
announcement_semantic_053,w60_L1_H_cnt,近60天 一级主题H 证据数
announcement_semantic_054,w90_n_ann,近90天 公告数
announcement_semantic_055,w90_n_rows,近90天 主题命中数
announcement_semantic_056,w90_n_high,近90天 高风险条数
announcement_semantic_057,w90_n_themes,近90天 覆盖主题数
announcement_semantic_058,w90_rule_hits,近90天 规则命中数
announcement_semantic_059,w90_strong,近90天 强风险信号数
announcement_semantic_060,w90_score_mean,近90天 风险分均值
announcement_semantic_061,w90_score_max,近90天 风险分最大值
announcement_semantic_062,w90_score_sum,近90天 风险分总和
announcement_semantic_063,w90_rerank_max,近90天 精排分最大值
announcement_semantic_064,w90_sentneg_mean,近90天 负面情绪均值
announcement_semantic_065,w90_L1_A_max,近90天 一级主题A 最高分
announcement_semantic_066,w90_L1_A_cnt,近90天 一级主题A 证据数
announcement_semantic_067,w90_L1_B_max,近90天 一级主题B 最高分
announcement_semantic_068,w90_L1_B_cnt,近90天 一级主题B 证据数
announcement_semantic_069,w90_L1_C_max,近90天 一级主题C 最高分
announcement_semantic_070,w90_L1_C_cnt,近90天 一级主题C 证据数
announcement_semantic_071,w90_L1_D_max,近90天 一级主题D 最高分
announcement_semantic_072,w90_L1_D_cnt,近90天 一级主题D 证据数
announcement_semantic_073,w90_L1_E_max,近90天 一级主题E 最高分
announcement_semantic_074,w90_L1_E_cnt,近90天 一级主题E 证据数
announcement_semantic_075,w90_L1_F_max,近90天 一级主题F 最高分
announcement_semantic_076,w90_L1_F_cnt,近90天 一级主题F 证据数
announcement_semantic_077,w90_L1_G_max,近90天 一级主题G 最高分
announcement_semantic_078,w90_L1_G_cnt,近90天 一级主题G 证据数
announcement_semantic_079,w90_L1_H_max,近90天 一级主题H 最高分
announcement_semantic_080,w90_L1_H_cnt,近90天 一级主题H 证据数
announcement_semantic_081,w180_n_ann,近180天 公告数
announcement_semantic_082,w180_n_rows,近180天 主题命中数
announcement_semantic_083,w180_n_high,近180天 高风险条数
announcement_semantic_084,w180_n_themes,近180天 覆盖主题数
announcement_semantic_085,w180_rule_hits,近180天 规则命中数
announcement_semantic_086,w180_strong,近180天 强风险信号数
announcement_semantic_087,w180_score_mean,近180天 风险分均值
announcement_semantic_088,w180_score_max,近180天 风险分最大值
announcement_semantic_089,w180_score_sum,近180天 风险分总和
announcement_semantic_090,w180_rerank_max,近180天 精排分最大值
announcement_semantic_091,w180_sentneg_mean,近180天 负面情绪均值
announcement_semantic_092,w180_L1_A_max,近180天 一级主题A 最高分
announcement_semantic_093,w180_L1_A_cnt,近180天 一级主题A 证据数
announcement_semantic_094,w180_L1_B_max,近180天 一级主题B 最高分
announcement_semantic_095,w180_L1_B_cnt,近180天 一级主题B 证据数
announcement_semantic_096,w180_L1_C_max,近180天 一级主题C 最高分
announcement_semantic_097,w180_L1_C_cnt,近180天 一级主题C 证据数
announcement_semantic_098,w180_L1_D_max,近180天 一级主题D 最高分
announcement_semantic_099,w180_L1_D_cnt,近180天 一级主题D 证据数
announcement_semantic_100,w180_L1_E_max,近180天 一级主题E 最高分
announcement_semantic_101,w180_L1_E_cnt,近180天 一级主题E 证据数
announcement_semantic_102,w180_L1_F_max,近180天 一级主题F 最高分
announcement_semantic_103,w180_L1_F_cnt,近180天 一级主题F 证据数
announcement_semantic_104,w180_L1_G_max,近180天 一级主题G 最高分
announcement_semantic_105,w180_L1_G_cnt,近180天 一级主题G 证据数
announcement_semantic_106,w180_L1_H_max,近180天 一级主题H 最高分
announcement_semantic_107,w180_L1_H_cnt,近180天 一级主题H 证据数
announcement_semantic_108,th_A01_max,主题 A01 近180天最高风险分
announcement_semantic_109,th_A01_cnt,主题 A01 近180天证据条数
announcement_semantic_110,th_A02_max,主题 A02 近180天最高风险分
announcement_semantic_111,th_A02_cnt,主题 A02 近180天证据条数
announcement_semantic_112,th_A03_max,主题 A03 近180天最高风险分
announcement_semantic_113,th_A03_cnt,主题 A03 近180天证据条数
announcement_semantic_114,th_A04_max,主题 A04 近180天最高风险分
announcement_semantic_115,th_A04_cnt,主题 A04 近180天证据条数
announcement_semantic_116,th_A05_max,主题 A05 近180天最高风险分
announcement_semantic_117,th_A05_cnt,主题 A05 近180天证据条数
announcement_semantic_118,th_A06_max,主题 A06 近180天最高风险分
announcement_semantic_119,th_A06_cnt,主题 A06 近180天证据条数
