feature,source_feature,description,reason
announcement_semantic_001,w30_n_rows,近30天 主题命中数,与 F1 的 announcement_semantic_000 重复 (rho=0.998)
announcement_semantic_003,w30_n_themes,近30天 覆盖主题数,与 F1 的 announcement_semantic_001 重复 (rho=0.998)
announcement_semantic_006,w30_score_mean,近30天 风险分均值,与 F1 的 announcement_semantic_000 重复 (rho=0.991)
announcement_semantic_007,w30_score_max,近30天 风险分最大值,与 F1 的 announcement_semantic_006 重复 (rho=0.999)
announcement_semantic_008,w30_score_sum,近30天 风险分总和,与 F1 的 announcement_semantic_007 重复 (rho=0.999)
announcement_semantic_010,w30_sentneg_mean,近30天 负面情绪均值,与 F1 的 announcement_semantic_000 重复 (rho=0.988)
announcement_semantic_012,w30_L1_A_cnt,近30天 一级主题A 证据数,与 F1 的 announcement_semantic_011 重复 (rho=0.996)
announcement_semantic_014,w30_L1_B_cnt,近30天 一级主题B 证据数,与 F1 的 announcement_semantic_013 重复 (rho=0.999)
announcement_semantic_016,w30_L1_C_cnt,近30天 一级主题C 证据数,与 F1 的 announcement_semantic_015 重复 (rho=0.999)
announcement_semantic_018,w30_L1_D_cnt,近30天 一级主题D 证据数,与 F1 的 announcement_semantic_017 重复 (rho=0.993)
announcement_semantic_020,w30_L1_E_cnt,近30天 一级主题E 证据数,与 F1 的 announcement_semantic_019 重复 (rho=0.992)
announcement_semantic_022,w30_L1_F_cnt,近30天 一级主题F 证据数,与 F1 的 announcement_semantic_021 重复 (rho=0.997)
announcement_semantic_024,w30_L1_G_cnt,近30天 一级主题G 证据数,与 F1 的 announcement_semantic_023 重复 (rho=0.999)
announcement_semantic_026,w30_L1_H_cnt,近30天 一级主题H 证据数,与 F1 的 announcement_semantic_025 重复 (rho=0.999)
announcement_semantic_028,w60_n_rows,近60天 主题命中数,与 F1 的 announcement_semantic_027 重复 (rho=0.993)
announcement_semantic_030,w60_n_themes,近60天 覆盖主题数,与 F1 的 announcement_semantic_027 重复 (rho=0.983)
announcement_semantic_034,w60_score_max,近60天 风险分最大值,与 F1 的 announcement_semantic_033 重复 (rho=0.990)
announcement_semantic_035,w60_score_sum,近60天 风险分总和,与 F1 的 announcement_semantic_034 重复 (rho=0.994)
announcement_semantic_039,w60_L1_A_cnt,近60天 一级主题A 证据数,与 F1 的 announcement_semantic_038 重复 (rho=0.985)
announcement_semantic_041,w60_L1_B_cnt,近60天 一级主题B 证据数,与 F1 的 announcement_semantic_040 重复 (rho=0.989)
announcement_semantic_043,w60_L1_C_cnt,近60天 一级主题C 证据数,与 F1 的 announcement_semantic_042 重复 (rho=0.988)
announcement_semantic_045,w60_L1_D_cnt,近60天 一级主题D 证据数,与 F1 的 announcement_semantic_044 重复 (rho=0.956)
announcement_semantic_047,w60_L1_E_cnt,近60天 一级主题E 证据数,与 F1 的 announcement_semantic_046 重复 (rho=0.966)
announcement_semantic_049,w60_L1_F_cnt,近60天 一级主题F 证据数,与 F1 的 announcement_semantic_048 重复 (rho=0.987)
announcement_semantic_051,w60_L1_G_cnt,近60天 一级主题G 证据数,与 F1 的 announcement_semantic_050 重复 (rho=0.996)
announcement_semantic_053,w60_L1_H_cnt,近60天 一级主题H 证据数,与 F1 的 announcement_semantic_052 重复 (rho=0.995)
announcement_semantic_055,w90_n_rows,近90天 主题命中数,与 F1 的 announcement_semantic_054 重复 (rho=0.987)
announcement_semantic_057,w90_n_themes,近90天 覆盖主题数,与 F1 的 announcement_semantic_054 重复 (rho=0.955)
announcement_semantic_062,w90_score_sum,近90天 风险分总和,与 F1 的 announcement_semantic_058 重复 (rho=0.970)
announcement_semantic_070,w90_L1_C_cnt,近90天 一级主题C 证据数,与 F1 的 announcement_semantic_069 重复 (rho=0.958)
announcement_semantic_076,w90_L1_F_cnt,近90天 一级主题F 证据数,与 F1 的 announcement_semantic_075 重复 (rho=0.963)
announcement_semantic_078,w90_L1_G_cnt,近90天 一级主题G 证据数,与 F1 的 announcement_semantic_077 重复 (rho=0.991)
announcement_semantic_080,w90_L1_H_cnt,近90天 一级主题H 证据数,与 F1 的 announcement_semantic_079 重复 (rho=0.988)
announcement_semantic_082,w180_n_rows,近180天 主题命中数,与 F1 的 announcement_semantic_081 重复 (rho=0.984)
announcement_semantic_089,w180_score_sum,近180天 风险分总和,与 F1 的 announcement_semantic_085 重复 (rho=0.965)
announcement_semantic_096,w180_L1_C_max,近180天 一级主题C 最高分,与 F1 的 announcement_semantic_088 重复 (rho=0.958)
announcement_semantic_105,w180_L1_G_cnt,近180天 一级主题G 证据数,与 F1 的 announcement_semantic_104 重复 (rho=0.978)
announcement_semantic_107,w180_L1_H_cnt,近180天 一级主题H 证据数,与 F1 的 announcement_semantic_106 重复 (rho=0.972)
announcement_semantic_109,th_A01_cnt,主题 A01 近180天证据条数,与 F1 的 announcement_semantic_093 重复 (rho=0.963)
