secucode,publish_date,announcement_title,regulatory_focus_points_json
002055.SZ,2020-07-07,得润电子-年报问询函-2020-07-07,"['详细说明2019年大额亏损的原因。', '结合行业竞争情况分析最近三年营业收入持续增长但净利润持续下滑的原因及合理性。', '补充说明是否存在主营业务盈利能力下降的风险。', '补充披露截至问询函发出日流动负债偿还情况和逾期债务情况。', '在主营业务亏损的情况下经营活动净现金流为正是否具有可持续性。', '评估公司偿债能力，说明是否存在债务逾期风险。', '详细披露内部控制重大缺陷的具体情况、相关整改措施及整改依据。', '结合应收账款账龄构成等因素说明近三年计提坏账准备的充分性和合理性。', '分产品说明存货的主要类别和库龄期限，并说明存货跌价准备计提的充分性。', '补充披露商誉减值测算过程，本年度商誉减值计提的充分性及未计提商誉减值的原因。', '结合财务资助协议说明非经营性往来款的后续还款安排。', '补充说明研发资本化比例大幅变动的原因及合理性。', '依据各项目明细补充披露递延所得税资产确认的依据、计算过程及增长合理性。', '说明政府补助发放主体、原因及相关信息并核查合规性']"
002055.SZ,2021-06-02,得润电子-年报问询函-2021-06-02,"['说明出售华麟电路股权的原因及是否存在年末突击交易', '解释投资收益确认的合理性与会计处理是否符合规定', '评估师评价华麟电路股权公允性', '自查交易披露及时性，是否存在以定期报告代替临时公告', '分析收入变动幅度差异原因及扣非后净利润连续为负的原因', '说明现金流量净额减少的具体明细并核查会计处理合规性', '得康电子还款情况及其合理性', '披露华麟电路占用款结算进展', '解释大额应收款项坏账准备转回原因与合理性，是否符合规定', '评估坏账准备计提的充分性', '说明存货跌价准备转回的具体情况及是否存在利润调节', '分析存货跌价准备和合同履约成本减值准备计提依据', '评价研发投入资本化比例合理性及其会计处理']"
002069.SZ,2020-01-23,獐子岛-关注函-2020-01-23,"['2018年海域使用金政策扶持是否已按规定披露及会计处理合规性？', '减免海域使用金申请进展、资金发放方式和时间安排如何？', '拟转让海域使用权涉及的减免海域使用金情况？', '2019年底播虾夷扇贝存货成本核销与计提跌价准备金额差异原因？']"
000005.SZ,2024-02-21,ST星源-关注函-2024-02-21,"['关于中国证监会立案调查事项', '关于业绩预告事项']"
000005.SZ,2023-06-14,ST星源-年报问询函-2023-06-14,"['分析营业收入、扣非前后净利润及经营性现金流下滑原因', '持续经营能力是否存在不确定性', '保留意见事项的审计证据获取情况和广泛性判断', '违规担保事项进展与合规性', '非经营性资金占用及其他关联资金往来情况', '其他应收款中诉讼相关款项的具体构成']"
000005.SZ,2021-12-16,ST星源-关注函-2021-12-16,"['变更会计师事务所的原因及过程', '新审计机构的专业胜任能力', '相关方的意见']"
000005.SZ,2022-01-17,ST星源-关注函-2022-01-17,"['核查此安贸易盖章真实性及免责协议法律效力', '核查其他免责协议书签章真实性及相关责任解除情况', '签字律师核查结论依据是否充分']"
000005.SZ,2021-05-20,ST星源-年报问询函-2021-05-20,"['关于违规担保的详细说明', '关于有条件借款及减值的具体情况', '关于长期应收款-肇庆项目减值的原因和处理方式', '关于南油福华项目交易事项的会计处理']"
000005.SZ,2022-05-25,ST星源-年报问询函-2022-05-25,"['2021年审计意见类型为保留意见的具体事项及原因', '非经营性资金占用及其他关联资金往来的具体情况', '内部控制缺陷的整改情况及影响', '子公司股权因诉讼被冻结的情况', '扣非净利润、营业收入与经营活动现金流量净额变动不匹配的原因', '前五大客户和供应商的变化情况', '非货币性资产交换利得的具体会计处理', '短期债务到期情况及应对措施', '收取资金占用费的详细信息', '预计负债计提充分性的说明']"
000040.SZ,2024-07-05,东旭蓝天-关注函-2024-07-05,['请公司在规定期限内清收被占用的资金，切实整改到位']
000009.SZ,2023-09-07,中国宝安-关注函-2023-09-07,['未按时完成董事局和监事会换届选举及进展披露']
000410.SZ,2023-05-05,*ST沈机-年报问询函-2023-05-05,"['扭亏为盈及盈利能力分析', '退市风险警示消除情况自查', '关联交易合理性说明', '投资收益计算过程核查', '存货跌价准备计提充分性', '递延所得税资产变动原因', '费用下降与收入变化差异解释']"
000415.SZ,2021-06-04,渤海租赁-年报问询函-2021-06-04,"['飞机租赁及销售业务大幅下滑的原因', '报告期内导致飞机租赁成本增加的原因', '集装箱销售业务未受疫情影响或受疫情影响较小的原因及合理性', '净利润近四个季度均为负的合理性，行业经营环境改善情况及应对措施', '其他融资租赁业务的主要内容及相关会计处理是否符合规定', '‘其他’类业务的具体情况及其大幅减少原因']"
000415.SZ,2023-06-01,渤海租赁-年报问询函-2023-06-01,"['连续三年亏损及流动性风险', '固定资产受限情况及减值准备', '债务重组收益确认依据', '主要供应商依赖风险', '信用减值损失计提合理性', '长期股权投资变动原因']"
000415.SZ,2023-01-31,渤海租赁-关注函-2023-01-31,"['详细说明飞机租赁业务计提固定资产减值准备的具体情况及原因。', '说明将俄罗斯境内飞机资产减值损失列入经常性损益的合规性和合理性。', '解释2022年集装箱租赁业务净利润大幅增长的原因。', '尽快聘任审计机构并披露相关风险。']"
000415.SZ,2022-05-16,渤海租赁-年报问询函-2022-05-16,"['天津渤海大额亏损的具体原因及合理性，Avolon 和天津渤海财务数据对比分析。', '第四季度收入大幅增长的原因及合理性，是否存在提前确认收入。', '2021年飞机销售数量减少但收入增加的原因及合理性，第四季度飞机销售量大幅增长的原因。', '境外存款存放地点、归集主体等信息，银行账户冻结情况。', '应收账款坏账准备计提的依据和过程，核销金额较大的关联方客户情况。', '债务重组收益确认的具体情况和合理性。', '交易性金融资产、衍生金融资产及权益工具投资公允价值变动损益的原因及会计处理。', '财务费用增长原因及合理性。', '集装箱租赁业务收入和利润大幅增长的原因，特种箱使用寿命变更的影响。']"
000416.SZ,2023-04-19,民生控股-关注函-2023-04-19,"['报告期典当业务收入确认政策及时点核查', '年初未能准确预计业绩情况的具体原因说明', '资产减值准备计提依据及合规性核查']"
000416.SZ,2023-05-05,*ST民控-年报问询函-2023-05-05,"['解释营业收入大幅下降的原因及会计政策', '说明应收账款减值准备计提情况', '评估贷款业务的持续经营能力并提示风险', '解释信托基金投资损失确认依据', '说明境外资金存放情况及其合规性', '解释递延所得税资产的具体构成和确认依据', '说明以物抵债会计处理及影响', '控股股东债务问题对公司的影响', '其他事项']"
000416.SZ,2022-01-30,民生控股-关注函-2022-01-30,"['说明对投资产品减值准备的计提情况。', '说明第四季度营业收入大幅增长的原因及收入确认依据。', '说明非经常性损益确认是否准确并披露其真实性。']"
000416.SZ,2024-01-30,*ST民控-关注函-2024-01-30,"['补充披露各季度业务收入、成本和费用构成。', '详细说明典当及保险经纪业务的盈利状况与稳定性。', '补充说明相关业务的收入确认和会计处理合规性。', '逐项说明公司相关收入是否应当予以扣除及其判断依据。', '说明第四季度财务指标大幅变动的原因及合理性。']"
000416.SZ,2024-03-21,*ST民控-关注函-2024-03-21,"['贷款风险分类政策及减值准备计提的合理性', '典当业务收入准则适用的合规性', '2023年部分收入的真实性', '收入与成本匹配性的解释', '年审机构意见']"
000416.SZ,2022-04-25,民生控股-年报问询函-2022-04-25,"['典当业务经营模式及合规性', '第四季度收入确认的会计准则符合性', '逾期息费对财务报表影响及公允性', '典当业务利率与行业对比', '投资收益、非经常性损益确认准确性', '客户集中度及大客户依赖风险', '贷款及垫款减值准备计提情况', '美元债券转让定价及资金来源核查', '信托产品兑付及股票质押价值']"
000421.SZ,2023-03-07,南京公用-关注函-2023-03-07,"['设立基金管理公司的原因及必要性。', '拟成立私募基金的设立进展和后续安排。', '关于基金管理公司设立时点、信息披露义务及会计处理是否合规。']"
000421.SZ,2022-05-05,南京公用-年报问询函-2022-05-05,"['解释预付账款大幅上升的原因及合理性。', '说明在建工程金额较高的合理性及其实施情况。', '解释存货金额较高且持续增长的原因，以及跌价准备计提的充分性。', '披露前五大供应商的具体信息并分析采购定价公允性。', '评估南京建信中北房地产开发有限公司股权变动对公司合并报表的影响。', '说明固定资产未办妥产权证书的具体原因及后续计划。', '解释豪华大客车抵押情况的变化及其对财务状况的影响。', '解释长期待摊费用大幅增长的原因和摊销方式的合理性']"
000502.SZ,2022-01-29,*ST绿景-关注函-2022-01-29,"['第四季度营业收入持续大幅增长的原因及合理性，毛利率是否偏离同行业平均水平。', '机电安装业务是否符合公司发展战略，是否为主营业务及其合理性。', '交易对方与公司是否存在关联关系，交易作价公允性，深圳弘益核心资产情况。', '延迟披露合同原因，未开工及终止合同原因，对公司财务指标影响。']"
000425.SZ,2021-10-20,徐工机械-许可类重组问询函-2021-10-20,"['说明认定实际控制人的依据和未披露一致行动关系的原因', '说明一致行动关系缔结情况及对上市公司收购的影响', '不再保持一致行动关系的原因', '是否构成重组上市', '说明关联应收款回收情况及其对公司财务状况影响']"
000502.SZ,2022-05-17,*ST绿景-关注函-2022-05-17,"['临时提案是否属于应当提交股东大会审议的事项及律师意见', '疫情对深圳弘益收入确认的具体影响及相关股东考虑']"
000502.SZ,2021-12-10,*ST绿景-关注函-2021-12-10,"['收购三河雅力控股权后即处置资产的原因及商业实质', '出售资产对生产经营和盈利预测的影响，手续办理进度未达预期原因', '交易对方及其控股股东、实际控制人与公司关联关系及履约能力', '净利润影响数的测算依据及年底突击创利情形', '三季度收入大幅增长及净利润下降的原因']"
000502.SZ,2020-03-17,绿景控股-许可类重组问询函-2020-03-17,"['补充披露剔除计算实际控制人拟认购股份后，或假定交易对价全部以股份支付的情形下，可能对公司股权架构和控制权认定的影响。', '说明实际控制人是否已就拟认购股份所需资金和所得股份锁定作出切实、可行安排，并结合上市公司控制权变更和主营业务变化情况等分析本次交易是否构成重大资产重组。', '说明控股股东及实际控制人在交易完成后三年内是否存在转让控制权的计划，以及是否有保持控制权稳定的相关安排。', '补充披露本次方案交易对方的关联关系和穿透披露后的合计人数，说明是否可能超过200人，并结合交易对方取得交易标的股权的时点等说明合规性。']"
000502.SZ,2022-02-25,*ST绿景-关注函-2022-02-25,"['核实并说明改聘年审机构的相关事项', '说明立信所已开展的年审工作及与管理层沟通情况', '说明选择中兴华所的过程及相关方评估程序']"
000502.SZ,2022-03-10,*ST绿景-关注函-2022-03-10,"['详细说明深圳弘益的业务资质、人员经验等，以及与IDC行业的联系。', '详细说明机电安装业务收入下降原因及合同风险，并提供合理性分析。', '结合应收账款回款情况说明新增业务的风险变化并核实相关收入是否符合会计准则。', '详细说明收购深圳弘益的价格公允性及短期内签订大额订单的原因。']"
000502.SZ,2021-03-25,绿景控股-非许可类重组问询函-2021-03-25,"['资金来源及保障措施', '解除股权及相关资产权利限制的具体方式和期限', '单一客户依赖风险', '高比例关联采购的必要性及定价公允性', '海南喆泽股权转让事项与交易关系', '未来主营业务收入预测依据及其合理性', '业绩承诺与补偿安排是否保护上市公司利益', '毛利率变化原因及其合理性', '政府主管部门批准情况', '同业竞争及管理团队调整']"
000502.SZ,2020-09-07,绿景控股-许可类重组问询函-2020-09-07,"['说明余丰、广州天誉与交易对方是否存在关联关系，以及交易完成后持股比例。', '结合公司章程说明交易完成后的董事会席位占比及未来计划。', '分析交易对方是否可能取得公司控制权及其影响。', '说明资金来源并评估支付履约保证金的必要性。', '解释佳一教育历次估值、摘牌情况及经营业绩差异。', '说明2020年1-3月营业收入与净利润变动幅度差异的原因。', '补充披露财务数据和相关信息是否存在差异。', '结合行业情况分析交易标的利润增长来源及盈利预测合理性。', '解释未要求部分交易对方进行业绩承诺的主要考虑。', '说明佳一教育变更为有限责任公司所需程序及其时间进度安排。']"
000502.SZ,2021-06-02,*ST绿景-年报问询函-2021-06-02,"['持续经营能力及风险提示', '物业管理业务收入及毛利率分析', '开发产品存货跌价准备合理性', '前五大供应商采购集中度说明', '债权转让交易安排合理性', '其他应收款坏账准备计提依据']"
000510.SZ,2020-07-17,新金路-关注函-2020-07-17,"['详细列示南江农信社及凉山农商行的股权结构，核实股东关系。', '结合银行经营情况说明综合金融服务能力提升的理由。', '说明内部控制缺陷整改情况和本次交易内部控制执行情况。', '是否存在其他应披露未披露事项。']"
000038.SZ,2022-05-18,*ST大通-年报问询函-2022-05-18,"['应收账款及差额补足义务相关问题', '内部控制缺陷相关问题', '会计差错更正相关问题', '资产权利受限情况', '业务板块毛利率波动及相关财务指标']"
000038.SZ,2022-10-26,*ST大通-关注函-2022-10-26,"['说明对两支基金提供担保的事项是否合法合规及履行的信息披露义务。', '未及时披露通锐基金到期及差额补足义务履行情况的原因及合理性。', '说明两支基金目前运作情况、清算情况及可能产生的差额补足义务。', '结合公司货币资金情况等说明是否存在流动性风险。', '对上述问题做出书面说明并报送和披露']"
000038.SZ,2022-11-29,*ST大通-三季报问询函-2022-11-29,"['分析报告期营业收入下滑的原因及净利润大幅增长的合理性。', '补充披露供应链业务收入确认政策及相关会计处理情况。', '说明坏账准备计提情况及其充分性。', '解释经营活动现金流量连续六年为负的原因及公司流动性风险。', '逐项说明非标意见涉及事项的影响进展并提供论证分析。']"
