feature,taxonomy_l1,taxonomy_l2,theme_name,status
f2_accrual_quality_zscore,B,B03,会计政策、会计估计与差错更正,auto
f2_accruals,B,B03,会计政策、会计估计与差错更正,auto
f2_accruals_to_assets,B,B03,会计政策、会计估计与差错更正,auto
f2_accruals_to_revenue,B,B03,会计政策、会计估计与差错更正,auto
f2_accruals_trend,B,B03,会计政策、会计估计与差错更正,auto
f2_aqi,B,B03,会计政策、会计估计与差错更正,auto
f2_beneish_m,B,B03,会计政策、会计估计与差错更正,auto
f2_benford_chi2_ocf,B,B03,会计政策、会计估计与差错更正,auto
f2_benford_chi2_profit,B,B03,会计政策、会计估计与差错更正,auto
f2_benford_chi2_revenue,B,B03,会计政策、会计估计与差错更正,auto
f2_benford_flag,B,B03,会计政策、会计估计与差错更正,auto
f2_benford_max_dev,B,B03,会计政策、会计估计与差错更正,auto
f2_debt_ratio,D,D03,债务结构与偿债能力,auto
f2_depi,B,B03,会计政策、会计估计与差错更正,auto
f2_dsri,B,B03,会计政策、会计估计与差错更正,auto
f2_gmi,A,A02,成本费用与毛利率,auto
f2_high_debt_flag,D,D03,债务结构与偿债能力,auto
f2_industry_outlier_count,A,A03,利润、扣非利润与业绩波动,auto
f2_log_market_cap,H,H01,股价、成交量与市场交易异常,auto
f2_loss_flag,A,A03,利润、扣非利润与业绩波动,auto
f2_lvgi,B,B03,会计政策、会计估计与差错更正,auto
f2_market_cap_quintile,H,H01,股价、成交量与市场交易异常,auto
f2_neg_accruals_flag,B,B03,会计政策、会计估计与差错更正,auto
f2_neg_pb_flag,A,A03,利润、扣非利润与业绩波动,auto
f2_neg_pe_flag,A,A03,利润、扣非利润与业绩波动,auto
f2_net_margin,A,A02,成本费用与毛利率,auto
f2_ocf_to_assets,D,D01,经营现金流与利润匹配,auto
f2_ocf_to_profit,D,D01,经营现金流与利润匹配,auto
f2_ocf_to_profit_extreme,D,D01,经营现金流与利润匹配,auto
f2_ocf_to_revenue,D,D01,经营现金流与利润匹配,auto
f2_ocf_volatility_4q,D,D01,经营现金流与利润匹配,auto
f2_p_accrual,D,D01,经营现金流与利润匹配,auto
f2_p_cfo,D,D01,经营现金流与利润匹配,auto
f2_p_dlever,D,D03,债务结构与偿债能力,auto
f2_p_dmargin,A,A03,利润、扣非利润与业绩波动,auto
f2_p_droa,A,A03,利润、扣非利润与业绩波动,auto
f2_p_dturnover,A,A03,利润、扣非利润与业绩波动,auto
f2_p_roa,A,A03,利润、扣非利润与业绩波动,auto
f2_p_score,A,A03,利润、扣非利润与业绩波动,auto
f2_pb,H,H01,股价、成交量与市场交易异常,auto
f2_pe,H,H01,股价、成交量与市场交易异常,auto
f2_profit_decline_streak,A,A03,利润、扣非利润与业绩波动,auto
f2_profit_ocf_diverge,D,D01,经营现金流与利润匹配,auto
f2_profit_qoq,A,A03,利润、扣非利润与业绩波动,auto
f2_profit_volatility,A,A03,利润、扣非利润与业绩波动,auto
f2_revenue_qoq,A,A01,收入规模与收入变动,auto
f2_revenue_volatility,A,A01,收入规模与收入变动,auto
f2_roa,A,A03,利润、扣非利润与业绩波动,auto
f2_roe,A,A03,利润、扣非利润与业绩波动,auto
f2_roe_decline_streak,A,A03,利润、扣非利润与业绩波动,auto
