feature_name,component_number,business_name,high_score_meaning,low_score_meaning,high_score_keywords,low_score_keywords,high_score_risk_labels,low_score_risk_labels,high_score_examples,low_score_examples,min_score,max_score,active_sample_count,retained_variance_share,interpretation_confidence,interpretation_note,spearman_corr_with_target_60d
semantic_000,1,监管问询函文本—第一季度报告文本语义对比,更接近监管问询函文本；主要文档：监管问询函(20),更接近第一季度报告文本；主要文档：第一季度报告(14)、第三季度报告(4)、半年度报告(2),无明显命中,无明显命中,无明显命中,无明显命中,002015.SZ_2020-12-31 / 2020-07-29 / 监管问询函 / szse_a41dcc6057416761_5752b846a4b7 / 无规则风险标签；002453.SZ_2023-09-30 / 2023-06-13 / 监管问询函 / szse_d0dfe90f8caa26a5_33e05ee539a0 / 无规则风险标签；002453.SZ_2023-06-30 / 2023-06-13 / 监管问询函 / szse_d0dfe90f8caa26a5_33e05ee539a0 / 无规则风险标签,603701.SH_2021-06-30 / 2021-04-28 / 第一季度报告 / cn_1209859654_444df071ccf8 / 无规则风险标签；603701.SH_2021-09-30 / 2021-04-28 / 第一季度报告 / cn_1209859654_444df071ccf8 / 无规则风险标签；603133.SH_2021-09-30 / 2021-04-26 / 第一季度报告 / cn_1209827281_f27a57960efd / 无规则风险标签,-0.8371774554252625,0.902807116508484,2892,0.6570796384708855,中等,统计性命名；PCA正负号可整体翻转，不代表风险好坏或因果关系。,0.078199
semantic_001,2,合规与诉讼风险—经营与市场风险语义对比,更接近合规与诉讼风险；主要文档：监管问询函(19)、年度报告(9)、第一季度报告(5),更接近经营与市场风险；主要文档：风险警示公告(21)、业绩预告(2),重大诉讼(6)、重大仲裁(6)、尚未判决(6)、由盈转亏(6)、连续亏损(6)、预计亏损(6),股票交易异常波动(15)、股价异常波动(15)、严重异常波动(15)、退市风险警示(8)、终止上市风险(8)、可能被终止上市(8),material_litigation_or_arbitration(6)、performance_loss_or_decline(6)、delisting_or_listing_risk(5),abnormal_stock_trading(15)、delisting_or_listing_risk(8)、regulatory_investigation_or_penalty(7),688114.SH_2022-12-31 / 2022-10-20 / 第三季度报告 / cn_1214842146_c9eaf531a152 / 无规则风险标签；688114.SH_2022-12-31 / 2022-09-06 / 监管问询函 / sse_ddc0984ee5686105_f9e685bd39e0 / 无规则风险标签；002119.SZ_2022-06-30 / 2022-03-01 / 年度报告 / cn_1212687726_b1e885102dfe / material_litigation_or_arbitration,001317.SZ_2022-03-31 / 2021-12-22 / 风险警示公告 / cn_1211981483_6988c8fea880 / abnormal_stock_trading；001317.SZ_2021-12-31 / 2021-12-22 / 风险警示公告 / cn_1211981483_6988c8fea880 / abnormal_stock_trading；002181.SZ_2021-03-31 / 2021-02-09 / 风险警示公告 / cn_1209264467_f3655564a7c4 / regulatory_investigation_or_penalty,-0.2439720183610916,0.8627674579620361,2892,0.0474700687527062,中等,统计性命名；PCA正负号可整体翻转，不代表风险好坏或因果关系。,0.060946
semantic_002,3,经营与市场风险内部语义差异,更接近经营与市场风险；主要文档：风险警示公告(20)、监管问询回复(4)、监管问询函(3),更接近经营与市场风险；主要文档：年度报告(11)、第三季度报告(6)、第一季度报告(3),股票交易异常波动(22)、股价异常波动(22)、严重异常波动(22)、退市风险警示(4)、终止上市风险(4)、可能被终止上市(4),退市风险警示(8)、终止上市风险(8)、可能被终止上市(8)、无法表示意见(4)、否定意见(4)、带强调事项段的无保留意见(4),abnormal_stock_trading(22)、delisting_or_listing_risk(4)、modified_audit_opinion(2),delisting_or_listing_risk(8)、modified_audit_opinion(4)、material_litigation_or_arbitration(1),"002177.SZ_2024-03-31 / 2024-01-04 / 风险警示公告 / cn_1218809170_f63fb19e5961 / abnormal_stock_trading；002177.SZ_2024-03-31 / 2023-10-12 / 监管问询回复 / szse_4318542d279cea4d_e89ea474a4ad / delisting_or_listing_risk,modified_audit_opinion,regulatory_investigation_or_penalty；002177.SZ_2024-06-30 / 2024-01-04 / 风险警示公告 / cn_1218809170_f63fb19e5961 / abnormal_stock_trading",002611.SZ_2022-03-31 / 2021-11-02 / 第三季度报告 / cn_1211467600_e2978e49834f / 无规则风险标签；002611.SZ_2021-12-31 / 2021-11-02 / 第三季度报告 / cn_1211467600_e2978e49834f / 无规则风险标签；600425.SH_2021-03-31 / 2021-03-19 / 年度报告 / cn_1209418774_5ac30fde23a6 / delisting_or_listing_risk,-0.2263251841068267,0.7263549566268921,2892,0.0377774898759331,中等,统计性命名；PCA正负号可整体翻转，不代表风险好坏或因果关系。,0.04999
semantic_003,4,经营与市场风险内部语义差异,更接近经营与市场风险；主要文档：风险警示公告(14)、年度报告(4)、其他公告(2),更接近经营与市场风险；主要文档：业绩预告(20)、监管问询函(3)、监管问询回复(1),股票交易异常波动(14)、股价异常波动(14)、严重异常波动(14)、退市风险警示(2)、终止上市风险(2)、可能被终止上市(2),退市风险警示(1)、终止上市风险(1)、可能被终止上市(1)、无法表示意见(1)、否定意见(1)、带强调事项段的无保留意见(1),abnormal_stock_trading(14)、delisting_or_listing_risk(2)、modified_audit_opinion(1),delisting_or_listing_risk(1)、modified_audit_opinion(1),002177.SZ_2024-06-30 / 2024-01-04 / 风险警示公告 / cn_1218809170_f63fb19e5961 / abnormal_stock_trading；200488.SZ_2023-03-31 / 2023-03-30 / 年度报告 / cn_1216280356_6c46eb2ad524 / 无规则风险标签；200488.SZ_2023-06-30 / 2023-03-30 / 年度报告 / cn_1216280356_6c46eb2ad524 / 无规则风险标签,000597.SZ_2021-09-30 / 2021-04-14 / 业绩预告 / cn_1209681874_f07281cca574 / 无规则风险标签；000597.SZ_2021-06-30 / 2021-04-14 / 业绩预告 / cn_1209681874_f07281cca574 / 无规则风险标签；003043.SZ_2022-03-31 / 2022-01-29 / 业绩预告 / cn_1212304671_3fa1c31e4163 / 无规则风险标签,-0.5692428946495056,0.2413215488195419,2892,0.0219463953657357,中等,统计性命名；PCA正负号可整体翻转，不代表风险好坏或因果关系。,0.047904
semantic_049,50,合规与诉讼风险—公司治理风险语义对比,更接近合规与诉讼风险；主要文档：业绩预告(11)、年度报告(4)、监管问询回复(3),更接近公司治理风险；主要文档：监管问询函(10)、业绩预告(9)、监管问询回复(4),重大诉讼(2)、重大仲裁(2)、尚未判决(2),退市风险警示(2)、终止上市风险(2)、可能被终止上市(2)、立案调查(2)、立案告知书(2)、行政处罚决定书(2),material_litigation_or_arbitration(2),delisting_or_listing_risk(2)、regulatory_investigation_or_penalty(2)、controlling_shareholder_pledge_or_freeze(1),300405.SZ_2023-06-30 / 2023-01-30 / 业绩预告 / cn_1215723429_a998575aa676 / 无规则风险标签；300405.SZ_2023-03-31 / 2023-01-30 / 业绩预告 / cn_1215723429_a998575aa676 / 无规则风险标签；002611.SZ_2022-03-31 / 2021-11-02 / 第三季度报告 / cn_1211467600_e2978e49834f / 无规则风险标签,000721.SZ_2022-12-31 / 2022-07-11 / 业绩预告 / cn_1214006266_e0caf1a05263 / 无规则风险标签；000721.SZ_2022-12-31 / 2022-11-14 / 监管问询回复 / szse_c39ebfc6c0025c49_36037c9636b3 / 无规则风险标签；000663.SZ_2022-06-30 / 2022-04-27 / 权益分派公告 / cn_1213166211_f1b8a294df0c / 无规则风险标签,-0.1776748448610305,0.2568478584289551,2892,0.0011861752119718,中等,统计性命名；PCA正负号可整体翻转，不代表风险好坏或因果关系。,0.036206
semantic_095,96,合规与诉讼风险内部语义差异,更接近合规与诉讼风险；主要文档：业绩预告(18)、监管问询回复(2),更接近合规与诉讼风险；主要文档：风险警示公告(7)、业绩预告(5)、半年度报告(5),立案调查(2)、立案告知书(2)、行政处罚决定书(2)、由盈转亏(2)、连续亏损(2)、预计亏损(2),重大诉讼(3)、重大仲裁(3)、尚未判决(3)、股票交易异常波动(3)、股价异常波动(3)、严重异常波动(3),regulatory_investigation_or_penalty(2)、performance_loss_or_decline(2),material_litigation_or_arbitration(3)、abnormal_stock_trading(3)、modified_audit_opinion(2),002538.SZ_2022-03-31 / 2022-01-26 / 业绩预告 / cn_1212286830_237c2240803f / 无规则风险标签；002538.SZ_2022-06-30 / 2022-01-26 / 业绩预告 / cn_1212286830_237c2240803f / 无规则风险标签；600433.SH_2020-03-31 / 2020-01-06 / 监管问询回复 / sse_bc16b87ad68b4875_56ea956658b7 / regulatory_investigation_or_penalty,002224.SZ_2021-06-30 / 2021-04-14 / 业绩预告 / cn_1209688082_1948f0accfec / 无规则风险标签；002224.SZ_2021-06-30 / 2021-04-28 / 半年度报告 / cn_1210926208_925c86c45b2f / modified_audit_opinion；002224.SZ_2021-06-30 / 2021-04-28 / 监管问询回复 / szse_77de06fd165ac039_18ec2e0b0844 / 无规则风险标签,-0.0970701426267623,0.1206835210323333,2892,0.0006625678470922,中等,统计性命名；PCA正负号可整体翻转，不代表风险好坏或因果关系。,0.029583
semantic_006,7,经营与市场风险内部语义差异,更接近经营与市场风险；主要文档：风险警示公告(22)、监管问询函(7)、监管问询回复(3),更接近经营与市场风险；主要文档：权益分派公告(19)、监管问询函(1)、风险警示公告(1),退市风险警示(22)、终止上市风险(22)、可能被终止上市(22)、无法表示意见(15)、否定意见(15)、带强调事项段的无保留意见(15),股票交易异常波动(1)、股价异常波动(1)、严重异常波动(1)、由盈转亏(1)、连续亏损(1)、预计亏损(1),delisting_or_listing_risk(22)、modified_audit_opinion(15)、regulatory_investigation_or_penalty(6),abnormal_stock_trading(1)、performance_loss_or_decline(1),000502.SZ_2021-03-31 / 2021-01-30 / 风险警示公告 / cn_1209216890_e7cd25a84657 / delisting_or_listing_risk；000502.SZ_2021-03-31 / 2021-01-16 / 监管问询回复 / szse_211d91f803780964_2915e9d160bf / 无规则风险标签；000502.SZ_2021-06-30 / 2021-01-30 / 风险警示公告 / cn_1209216890_e7cd25a84657 / delisting_or_listing_risk,000301.SZ_2021-09-30 / 2021-06-10 / 权益分派公告 / cn_1210210562_616a24efae74 / 无规则风险标签；000301.SZ_2021-09-30 / 2021-07-21 / 监管问询函 / szse_6f2d24bf591fc3fb_de44659fd966 / 无规则风险标签；600182.SH_2023-12-31 / 2023-07-11 / 权益分派公告 / cn_1217263856_99d4f1aca000 / 无规则风险标签,-0.3024280369281769,0.4143799841403961,2892,0.0065389580393077,中等,统计性命名；PCA正负号可整体翻转，不代表风险好坏或因果关系。,0.029276
semantic_057,58,财务与业绩风险—合规与诉讼风险语义对比,更接近财务与业绩风险；主要文档：监管问询回复(9)、监管问询函(6)、业绩预告(5),更接近合规与诉讼风险；主要文档：监管问询函(12)、监管问询回复(6)、业绩预告(2),由盈转亏(2)、连续亏损(2)、预计亏损(2)、退市风险警示(1)、终止上市风险(1)、可能被终止上市(1),立案调查(2)、立案告知书(2)、行政处罚决定书(2)、大额资产减值(2)、重大资产减值(2)、大额商誉减值(2),performance_loss_or_decline(2)、delisting_or_listing_risk(1),regulatory_investigation_or_penalty(2)、material_asset_impairment(2),002691.SZ_2021-06-30 / 2021-03-31 / 业绩预告 / cn_1209681804_bbd7ad7cc6c3 / 无规则风险标签；688189.SH_2021-03-31 / 2020-11-25 / 监管问询回复 / sse_0b53a4fa46f932e6_d01230bf3918 / 无规则风险标签；688189.SH_2020-12-31 / 2020-11-25 / 监管问询回复 / sse_0b53a4fa46f932e6_d01230bf3918 / 无规则风险标签,000637.SZ_2020-06-30 / 2020-02-25 / 监管问询函 / szse_e8096bb670d9cc3f_0204c8067004 / 无规则风险标签；000637.SZ_2020-03-31 / 2020-02-25 / 监管问询函 / szse_e8096bb670d9cc3f_0204c8067004 / 无规则风险标签；600433.SH_2020-03-31 / 2020-01-06 / 监管问询回复 / sse_bc16b87ad68b4875_56ea956658b7 / regulatory_investigation_or_penalty,-0.1239603906869888,0.1400100141763687,2892,0.0010454950561348,中等,统计性命名；PCA正负号可整体翻转，不代表风险好坏或因果关系。,0.028042
semantic_041,42,合规与诉讼风险—经营与市场风险语义对比,更接近合规与诉讼风险；主要文档：监管问询回复(10)、业绩预告(6)、监管问询函(4),更接近经营与市场风险；主要文档：业绩预告(13)、监管问询回复(4)、监管问询函(2),立案调查(5)、立案告知书(5)、行政处罚决定书(5)、无法表示意见(4)、否定意见(4)、带强调事项段的无保留意见(4),股票交易异常波动(2)、股价异常波动(2)、严重异常波动(2),regulatory_investigation_or_penalty(5)、modified_audit_opinion(4)、abnormal_stock_trading(3),abnormal_stock_trading(2),000721.SZ_2022-12-31 / 2022-07-11 / 业绩预告 / cn_1214006266_e0caf1a05263 / 无规则风险标签；000721.SZ_2022-12-31 / 2022-11-14 / 监管问询回复 / szse_c39ebfc6c0025c49_36037c9636b3 / 无规则风险标签；000630.SZ_2021-12-31 / 2021-10-12 / 业绩预告 / cn_1211243510_7888a3237682 / 无规则风险标签,000816.SZ_2021-06-30 / 2021-03-31 / 业绩预告 / cn_1209691746_86f8b284bcb1 / 无规则风险标签；003043.SZ_2022-03-31 / 2022-01-29 / 业绩预告 / cn_1212304671_3fa1c31e4163 / 无规则风险标签；003043.SZ_2022-06-30 / 2022-01-29 / 业绩预告 / cn_1212304671_3fa1c31e4163 / 无规则风险标签,-0.1678021699190139,0.2406614422798156,2892,0.0013431638417585,中等,统计性命名；PCA正负号可整体翻转，不代表风险好坏或因果关系。,0.02802
semantic_108,109,合规与诉讼风险—经营与市场风险语义对比,更接近合规与诉讼风险；主要文档：业绩预告(13)、监管问询回复(5)、监管问询函(4),更接近经营与市场风险；主要文档：业绩预告(16)、风险警示公告(2)、监管问询函(2),重大诉讼(2)、重大仲裁(2)、尚未判决(2)、股票交易异常波动(2)、股价异常波动(2)、严重异常波动(2),退市风险警示(1)、终止上市风险(1)、可能被终止上市(1),material_litigation_or_arbitration(2)、abnormal_stock_trading(2)、debt_overdue_or_default(1),delisting_or_listing_risk(1),002226.SZ_2024-03-31 / 2024-01-24 / 业绩预告 / cn_1218989475_f3592ada7259 / 无规则风险标签；002226.SZ_2024-06-30 / 2024-01-24 / 业绩预告 / cn_1218989475_f3592ada7259 / 无规则风险标签；002434.SZ_2023-06-30 / 2023-01-14 / 业绩预告 / cn_1215606282_5cda46dbb251 / 无规则风险标签,300808.SZ_2023-03-31 / 2023-01-18 / 业绩预告 / cn_1215651170_867a61d7ba09 / 无规则风险标签；002552.SZ_2021-03-31 / 2021-03-22 / 业绩预告 / cn_1209425361_394fd7aad1b5 / 无规则风险标签；002552.SZ_2021-06-30 / 2021-03-22 / 业绩预告 / cn_1209425361_394fd7aad1b5 / 无规则风险标签,-0.1429497450590133,0.0996885523200035,2892,0.0005708284819056,中等,统计性命名；PCA正负号可整体翻转，不代表风险好坏或因果关系。,0.027882
